,cbf,item-item,mf,perbias,user-user
10,2.5544947721,2.6057201052599996,2.3409356132999997,2.8343383558000004,2.8393092340500004
25,2.6600295078,2.7912809692250002,2.3409356132999997,2.8343383558000004,3.120570342225
50,2.8343383558,3.0145587847,2.4930141237,2.8343383558000004,3.44014235775
75,3.1185885664499997,3.32978591305,2.8219636396,2.8343383558000004,3.8088006020250003
95,3.639522244955,3.7528293622599995,3.1880695973,2.8343383558,4.211886019404999
max,4.012559527800001,4.1272604462,3.4228615043,2.8343383558000004,4.5940242884
mean,2.926817270338,3.0668643236879998,2.608081644832,2.8343383558000013,3.4757618223430007
min,2.4024162617,2.2667476573,2.3409356132999997,2.8343383558000004,2.5034614459
