,cbf,item-item,mf,perbias,user-user
10,0.0,0.0,0.0,0.0,0.2257195126710983
25,0.0,0.0,0.0,0.0,0.3626921557611542
50,0.0,0.1657267917879966,0.0,0.0,0.5606012412913295
75,0.16699703510291103,0.3703354894989202,0.12381406938380125,0.0,0.7514026932944854
95,0.37400785544622916,0.71904604918344,0.21664264558954702,0.2077947058095556,0.9325019500307903
max,0.7171256494326256,1.086877243213576,0.4889853051028435,0.5488248477600727,1.0860581248072814
mean,0.09956677016883178,0.23927694918617934,0.0519962857660897,0.04437665278388837,0.5602593288020831
min,0.0,0.0,0.0,0.0,0.0
