,cbf,item-item,mf,perbias,user-user
10,0.0,0.0,0.0,0.0,0.05592701499691459
25,0.0,0.0,0.0,0.0,0.11711609856544422
50,0.0,0.13718270850000014,0.0,0.0,0.2300046783708123
75,0.16360028625000012,0.293425392338177,0.05790817625,0.0059369424999999865,0.399643210801703
95,0.551144192415141,0.5164759634328844,0.5543696066999999,0.6302567486549765,0.5207152383865652
max,0.811302543,1.1436939300000004,0.885881951,1.0134060299999996,0.9312447030255364
mean,0.11161001712630045,0.17851993484213233,0.08572213952044,0.09895163864602224,0.25964123069174994
min,0.0,0.0,0.0,0.0,0.0
