,cbf,item-item,mf,perbias,user-user
10,0.0,0.0,0.0,0.0,0.041666666666666664
25,0.0,0.0,0.0,0.0,0.125
50,0.0,0.034523809523809526,0.0,0.0,0.25
75,0.04821428571428571,0.125,0.016666666666666666,0.0,0.375
95,0.125,0.2857142857142857,0.06270833333333332,0.08333333333333333,0.5510714285714285
max,0.5,0.45952380952380956,0.125,0.25,0.76
mean,0.037413154040089026,0.08084147403133303,0.01145265709174041,0.012018269136980436,0.2563697400461148
min,0.0,0.0,0.0,0.0,0.0
