,cbf,item-item,mf,perbias,user-user
10,0.0,0.0,0.0,0.0,0.2
25,0.0,0.0,0.0,0.0,0.2
50,0.0,0.2,0.0,0.0,0.4
75,0.2,0.4,0.2,0.0,0.6
95,0.4,0.6,0.2,0.2,0.8
max,0.8,0.8,0.4,0.4,1.0
mean,0.1,0.20799999999999996,0.05800000000000001,0.046000000000000006,0.458
min,0.0,0.0,0.0,0.0,0.0
