,cbf,item-item,mf,perbias,user-user
10,0.32000000000000006,0.24,0.4,0.6399999999999999,0.16000000000000003
25,0.48,0.32,0.64,0.6399999999999999,0.31999999999999995
50,0.6,0.48,0.64,0.6399999999999999,0.48
75,0.64,0.6399999999999999,0.64,0.6399999999999999,0.5599999999999999
95,0.64,0.6439999999999998,0.64,0.6399999999999999,0.72
max,0.7200000000000001,0.7200000000000001,0.64,0.6399999999999999,0.7200000000000001
mean,0.5471999999999999,0.46480000000000005,0.6015999999999999,0.6399999999999998,0.4288
min,0.24,0.0,0.4,0.6399999999999999,0.0
